graph,effective_rank,feature_dim
graph_flow_2754,4,4
graph_flow_2755,4,4
graph_flow_2756,4,4
graph_flow_2757,4,4
graph_flow_2758,4,4
graph_flow_2759,4,4
graph_flow_2760,4,4
graph_flow_2761,4,4
graph_flow_2762,4,4
graph_flow_2763,4,4
graph_flow_2764,4,4
graph_flow_2765,4,4
graph_flow_2766,4,4
graph_flow_2767,4,4
graph_flow_2768,4,4
graph_flow_2769,4,4
graph_flow_2770,4,4
graph_flow_2771,4,4
graph_flow_2772,4,4
graph_flow_2773,4,4
graph_flow_2774,4,4
graph_flow_2775,4,4
graph_flow_2776,4,4
graph_flow_2777,4,4
graph_flow_2778,4,4
graph_flow_2779,4,4
graph_flow_2780,4,4
graph_flow_2781,4,4
graph_flow_2782,4,4
graph_flow_2783,4,4
graph_flow_2784,4,4
graph_flow_2785,4,4
graph_flow_2786,4,4
graph_flow_2787,4,4
graph_flow_2788,4,4
graph_flow_2789,4,4
graph_flow_2790,4,4
graph_flow_2791,4,4
graph_flow_2792,4,4
graph_flow_2793,4,4
graph_flow_2794,4,4
graph_flow_2795,4,4
graph_flow_2797,4,4
graph_flow_2798,4,4
graph_flow_2799,4,4
graph_flow_2800,4,4
graph_flow_2801,4,4
graph_flow_2802,4,4
graph_flow_2803,4,4
graph_flow_2804,4,4
graph_flow_2805,4,4
graph_flow_2806,4,4
graph_flow_2807,4,4
graph_flow_2808,4,4
graph_flow_2809,4,4
graph_flow_2810,4,4
graph_flow_2811,4,4
graph_flow_2812,4,4
graph_flow_2813,4,4
graph_flow_2814,4,4
graph_flow_2815,4,4
graph_flow_2816,4,4
graph_flow_2818,4,4
graph_flow_2819,4,4
graph_flow_2820,4,4
graph_flow_2821,4,4
graph_flow_2822,4,4
graph_flow_2823,4,4
graph_flow_2824,4,4
graph_flow_2825,4,4
graph_flow_2826,4,4
graph_flow_2827,4,4
graph_flow_2828,4,4
graph_flow_2829,4,4
graph_flow_2830,4,4
graph_flow_2831,4,4
graph_flow_2832,4,4
graph_flow_2833,4,4
graph_flow_2834,4,4
graph_flow_2835,4,4
graph_flow_2836,4,4
graph_flow_2837,4,4
graph_flow_2838,4,4
graph_flow_2839,4,4
graph_flow_2840,4,4
graph_flow_2841,4,4
graph_flow_2842,4,4
graph_flow_2843,4,4
graph_flow_2844,4,4
graph_flow_2845,4,4
graph_flow_2846,4,4
graph_flow_2847,4,4
graph_flow_2848,4,4
graph_flow_2849,4,4
graph_flow_2850,4,4
graph_flow_2851,4,4
graph_flow_2852,4,4
graph_flow_2853,4,4
graph_flow_2854,4,4
graph_flow_2855,4,4
graph_flow_2856,4,4
graph_flow_2857,4,4
graph_flow_2858,4,4
graph_flow_2859,4,4
graph_flow_2860,4,4
graph_flow_2862,4,4
graph_flow_2863,4,4
graph_flow_2864,4,4
graph_flow_2865,4,4
graph_flow_2866,4,4
graph_flow_2867,4,4
graph_flow_2868,4,4
graph_flow_2869,4,4
graph_flow_2870,4,4
graph_flow_2871,4,4
graph_flow_2872,4,4
graph_flow_2873,4,4
graph_flow_2874,4,4
graph_flow_2875,4,4
graph_flow_2876,4,4
graph_flow_2877,4,4
graph_flow_2878,4,4
graph_flow_2880,4,4
graph_flow_2881,4,4
graph_flow_2882,4,4
graph_flow_2884,4,4
graph_flow_2885,4,4
graph_flow_2886,4,4
graph_flow_2887,4,4
graph_flow_2888,4,4
graph_flow_2889,4,4
graph_flow_2890,4,4
graph_flow_2891,4,4
graph_flow_2892,4,4
graph_flow_2893,4,4
graph_flow_2894,4,4
graph_flow_2895,4,4
graph_flow_2896,4,4
graph_flow_2898,4,4
graph_flow_2899,4,4
graph_flow_2900,4,4
graph_flow_2901,4,4
graph_flow_2902,4,4
graph_flow_2903,4,4
graph_flow_2904,4,4
graph_flow_2905,4,4
graph_flow_2906,4,4
graph_flow_2907,4,4
graph_flow_2908,4,4
graph_flow_2909,4,4
graph_flow_2910,4,4
graph_flow_2911,4,4
graph_flow_2912,4,4
graph_flow_2913,4,4
graph_flow_2914,4,4
graph_flow_2915,4,4
graph_flow_2916,4,4
graph_flow_2917,4,4
graph_flow_2918,4,4
graph_flow_2919,4,4
graph_flow_2920,4,4
graph_flow_2921,4,4
graph_flow_2924,4,4
graph_flow_2925,4,4
graph_flow_2926,4,4
graph_flow_2927,4,4
graph_flow_2928,4,4
graph_flow_2929,4,4
graph_flow_2930,4,4
graph_flow_2931,4,4
graph_flow_2932,4,4
graph_flow_2933,4,4
graph_flow_2934,4,4
graph_flow_2935,4,4
graph_flow_2936,4,4
graph_flow_2937,4,4
graph_flow_2938,4,4
graph_flow_2939,4,4
graph_flow_2940,4,4
graph_flow_2941,4,4
graph_flow_2942,4,4
graph_flow_2943,4,4
graph_flow_2944,4,4
graph_flow_2945,4,4
graph_flow_2946,4,4
graph_flow_2947,4,4
graph_flow_2948,4,4
graph_flow_2949,4,4
graph_flow_2950,4,4
graph_flow_2951,4,4
graph_flow_2952,4,4
graph_flow_2953,4,4
graph_flow_2954,4,4
graph_flow_2955,4,4
graph_flow_2956,4,4
graph_flow_2957,4,4
graph_flow_2958,4,4
graph_flow_2959,4,4
graph_flow_2960,4,4
graph_flow_2961,4,4
graph_flow_2962,4,4
graph_flow_2963,4,4
graph_flow_2964,4,4
graph_flow_2965,4,4
graph_flow_2966,4,4
graph_flow_2967,4,4
graph_flow_2968,4,4
graph_flow_2969,4,4
graph_flow_2970,4,4
graph_flow_2971,4,4
graph_flow_2972,4,4
graph_flow_2973,4,4
graph_flow_2974,4,4
graph_flow_2975,4,4
graph_flow_2976,4,4
graph_flow_2977,4,4
graph_flow_2978,4,4
graph_flow_2979,4,4
graph_flow_2980,4,4
graph_flow_2981,4,4
graph_flow_2982,4,4
graph_flow_2983,4,4
graph_flow_2984,4,4
graph_flow_2985,4,4
graph_flow_2986,4,4
graph_flow_2987,4,4
graph_flow_2988,4,4
graph_flow_2989,4,4
graph_flow_2990,4,4
graph_flow_2991,4,4
graph_flow_2992,4,4
graph_flow_2993,4,4
graph_flow_2994,4,4
graph_flow_2995,4,4
graph_flow_2996,4,4
graph_flow_2997,4,4
graph_flow_2999,4,4
